english,chinese,examples
antidote,2) a substance that stops the effects of a poison 解毒剂,e.g. Regular exercise is the best [[antidote]] to tiredness and depression.；e.g. There is no known [[antidote]] to a bite from this snake.
photography,"[C] the art, profession, or method of producing photographs or the scenes in films 摄影；摄影业；摄影术","e.g. After I went on a [[photography]] course, my friend asked me to take some photos of her."
Victorian,英国维多利亚（女王）时代的,
critic,"1) sb. whose job is to make judgments about the good and bad qualities of art, music, films, etc.（艺术、音乐、电影等的）评论家，批评家",e.g. The play has been well received by the [[critics]].；e.g. [[Critics]] of the scheme have said that it will not solve the problem of teenage crime.
critic,"2) sb. who criticizes a person, organization, or idea 批评者",e.g. The play has been well received by the [[critics]].；e.g. [[Critics]] of the scheme have said that it will not solve the problem of teenage crime.
sketch,draw a sketch of sth.（给···）画速写；（给···）画素描,e.g. The art students were told to [[sketch]] the landscape.；e.g. Cantor drew a rough [[sketch]] of his apartment.
sketch,"[C] a simple, quickly made drawing that does not show much detail 素描；速写；草图",e.g. The art students were told to [[sketch]] the landscape.；e.g. Cantor drew a rough [[sketch]] of his apartment.
jot,"(jotted, jotting) (~ down) write a short piece of information quickly 草草记下",e.g. Let me [[jot down]] your number and I'll call you tomorrow.
echo,repeat an idea or opinion because you agree with it 附和（别人的观点）,e.g. I've heard the prime minister's view [[echoed]] throughout the party.；e.g. Her scream was followed by a loud [[echo]].
echo,"(pl. echoes) [C] a sound that you hear again after a loud noise, because it was made near sth. such as a wall 回声；回音",e.g. I've heard the prime minister's view [[echoed]] throughout the party.；e.g. Her scream was followed by a loud [[echo]].
thoughtful,1) showing careful consideration or attention 经缜密思考的；注意的,"e.g. It is a [[thoughtful]] and finely acted film, suggesting that no one has a fixed nature.；e.g. It was really [[thoughtful]] of you to remember my birthday."
thoughtful,2) always thinking of the things you can do to make people happy or comfortable 想得周到的；体贴的；关心的,"e.g. It is a [[thoughtful]] and finely acted film, suggesting that no one has a fixed nature.；e.g. It was really [[thoughtful]] of you to remember my birthday."
capability,"[C] the natural ability, skill, or power that makes a machine, person, or organization able to do sth., esp. sth. difficult（尤指完成困难事情的）能力，才干","e.g. I can speak French, but simultaneous interpretation is beyond my [[capabilities]]."
layer,make a layer of sth. or put sth. down in layers 铺一层···；分层放置,e.g. The cliffs are [[layered]] with fossil remains.；e.g. The moon was shining through a thin [[layer]] of cloud.
layer,an amount or piece of a material or substance that covers a surface or that is between two other things 表层；层,e.g. The cliffs are [[layered]] with fossil remains.；e.g. The moon was shining through a thin [[layer]] of cloud.
maximize,(BrE also maximise) increase sth. such as profit or income as much as possible 使增加到最大限度；使最大化,"e.g. The aim of everyone, irrespective of weight, should be to change their eating habits to [[maximize]] the health benefits."
closely,1) very carefully 仔细地；严密地,"e.g. The detective watched him [[closely]], waiting for a reply.；e.g. I have been [[closely]] involved in the work of both committees."
closely,2) to a very great degree 密切地；在很大程度上,"e.g. The detective watched him [[closely]], waiting for a reply.；e.g. I have been [[closely]] involved in the work of both committees."
unfiltered,1) with no information removed （信息）未经过滤的,e.g. The radio station provides millions of people with [[unfiltered]] news.；e.g. [[Unfiltered]] apple juice is such a treat when it's in season in the fall.
unfiltered,2) not having had solids removed with a filter 未经过滤的,e.g. The radio station provides millions of people with [[unfiltered]] news.；e.g. [[Unfiltered]] apple juice is such a treat when it's in season in the fall.
mustache,[C] (BrE moustache) hair that grows on a man's upper lip 髭；小胡子,"e.g. The old man had wavy hair, wore a thin [[mustache]], and was dressed conservatively."
musing,"[C, U, usu. pl.] a period of thinking carefully about sth. or telling people your thoughts about it 沉思；诉说想法",e.g. We had to sit and listen to his [[musings]] on life.
cherish,"if you cherish sth., it is very important to you 重视；珍视",e.g. I [[cherish]] the memory of that day.
goat,[C] 山羊,
whisperer,"[C] a person who can control and train a particular type of animal just by using the voice and gentle body movements, and without using force or threats （通过低声耳语和轻柔的身体动作）训练动物的人",e.g. He's the original horse [[whisperer]]! He could get on the back of any horse in half an hour.
tap,"hit sth. gently, and often repeatedly, esp. making short, sharp noises （常指连续）轻拍，轻叩，轻敲",e.g. Mark [[tapped]] his fingers on the tabletop impatiently.；e.g. I gave her a [[tap]] on the shoulder and she turned around.
tap,"[C] an act of hitting sth. lightly, esp. to get sb.'s attention （尤指为了引起某人注意）轻轻敲击，轻扣，轻拍",e.g. Mark [[tapped]] his fingers on the tabletop impatiently.；e.g. I gave her a [[tap]] on the shoulder and she turned around.
snugly,"in a way that feels warm, comfortable, and protected 温暖舒适地",e.g. Jamie was [[snugly]] wrapped in a white woolen scarf.
stripe,"[C] a line of colour, esp. one of several lines of color all close together 条纹；线条",e.g. She wore a bright green jogging suit with a white [[stripe]] down the sides.
striped,having lines or bands of color 有（彩色）条纹的,"e.g. The suspect was tall, and wore dark blue trousers with a blue and white [[striped]] shirt."
endure,continue to exist for a long time 持续存在,e.g. He wasn't the only one who doubted the relationship would [[endure]].；e.g. It seemed impossible that anyone could [[endure]] such pain.
endure,be in a difficult or painful situation for a long time without complaining 忍耐；忍受,e.g. He wasn't the only one who doubted the relationship would [[endure]].；e.g. It seemed impossible that anyone could [[endure]] such pain.
enduring,lasting for a long time 持久的；耐久的,e.g. One of my most [[enduring]] memories is of going on holiday to France with my parents.
quotation,[C] a group of words taken from a text or speech and repeated by sb. other than the original author or speaker 引文；引语；语录,e.g. The following [[quotation]] is taken from a 19th-century travel diary.
sake,"1) (for sth.'s ~ / for the ~ of it / for its own ~) because of the interest or value sth. has, not because of the advantages it may bring 为某事本身的缘故；鉴于某事本身的价值",e.g. I don't care about winning or losing; I just enjoy playing sports for sports’ [[sake]].；e.g. The family moved to a coastal city in the south for the [[sake]] of the boy's health.
sake,"2) (for the ~ of sb. / sth.; for sb.'s / sth.'s ~) in order to help, improve, or please sb. / sth. 为了某人 / 某事的缘故",e.g. I don't care about winning or losing; I just enjoy playing sports for sports’ [[sake]].；e.g. The family moved to a coastal city in the south for the [[sake]] of the boy's health.
obey,do what you are told or expected to do 服从；遵守；顺从,e.g. The little girl made no effort to [[obey]].
disobey,"refuse to do what a person, law, order, etc. tells you to do; refuse to obey 不服从；不顺从；违抗","e.g. If you [[disobey]] the law, you will be punished."
spiky,having long sharp points 带尖刺的；有刺的,"e.g. Some corals are quite smooth, while others are sharp and [[spiky]]."
chestnut,[C] 栗子；板栗,
shell,[C] （禽蛋、坚果、种子的）壳,
birch,"[C, U] 桦树；桦木",
sway,move slowly from one side to another 摇摆；摇动；摇晃,e.g. The movement of the ship caused the mast (桅杆) to [[sway]] back and forth.
stumble upon / on / across,find or discover sth. by chance and unexpectedly 偶然发现（碰见）,e.g. Workmen [[stumbled upon]] the relic while digging the foundations for a new building.
tuck away,"(infml.) store sth. esp. money, in a safe place 把（尤指钱）存放在安全处",e.g. The envelope was [[tucked away]] in her jewel box.
win out (over),finally succeed or defeat other people or things 终于成功；胜出,e.g. It remains to be seen whether the archaeologists will [[win out]] over the urban planners.
bring up,mention a subject or start to talk about it 提起（话题）,e.g. Why did you have to [[bring up]] the subject of money?
if not,perhaps even (used to introduce a more extreme term than one first mentioned) 甚至可能（用于提出更极端的说法）,e.g. They cost thousands if not millions of pounds to build.
in real time,(AmE) at once; instantaneously 立刻；实时,e.g. Smart meters show in real time how much electricity and gas is being used by households.
touch up,improve sth. by changing it slightly or adding a little more to it 修改；改进；润色,"e.g. We thought the photo had probably been [[touched up]], because he looked so much younger in it."
get off the ground,start to be successful 开始获得成功；取得进展,e.g. Construction of the theme park never [[got off the ground]] for lack of money.
bring back,make sb. remember sth. or think about it again 使回忆起（想起）,e.g. The photographs [[brought back]] many pleasant memories.
follow in sb.'s footsteps,"do as another person did before, esp. in making a journey or following a particular career 步某人的后尘；走某人走过的路；继承事业",e.g. She wanted to follow in her mother's footsteps and be a ballroom dancer.
Vietnam,越南（亚洲国家）,
Ho Chi Minh City,胡志明市（越南城市，位于东南部）,
Russia,俄罗斯（欧洲国家）,
Oregon,俄勒冈州（位于美国西北部）,
Clarno Unit,克拉诺区 （约翰迪化石层国家遗址的三个区块之一）,
John Day Fossil Beds National Monument,约翰迪化石层国家遗址（美国国家公园，位于俄勒冈州）,
John Ruskin,约翰・罗斯金（英国艺术评论家）,
Bulgaria,保加利亚（欧洲国家）,
Vidin,维丁（保加利亚城市）,
Robert Louis Stevenson,罗伯特・路易・史蒂文森（英国作家）,
Cévennes,塞文山脉（位于法国南部）,
Le Cheylard,勒谢拉尔（法国市镇，位于法国南部）,
Luc,吕克（法国市镇，位于法国南部）,
