english,chinese,examples
reasonable,"fair, practical, and sensible 有道理的；合情合理的",e.g. Be [[reasonable]] — you can't expect her to do all the work on her own!
relieve,reduce sb.'s pain or unpleasant feelings 减轻；缓解（疼痛或不快的感觉）,"e.g. This kind of drug can help to [[relieve]] the pain, but it should be used carefully."
relieved,feeling happy because you are no longer worried about sth. 宽慰的；放心的,e.g. She looked immensely [[relieved]] when she heard the news.
innate,an innate quality or ability is sth. you are born with （素质或能力）天生的，与生俱来的,e.g. Children seem to have an [[innate]] ability to learn language.
desirable,1) sexually attractive 性感迷人的,e.g. He was with the young woman whom his classmates thought most [[desirable]].；e.g. The ability to speak a foreign language is highly [[desirable]].
desirable,2) (fml.) sth. that is desirable is worth having or doing 理想的；值得拥有的；值得做的,e.g. He was with the young woman whom his classmates thought most [[desirable]].；e.g. The ability to speak a foreign language is highly [[desirable]].
mate,"1) [C] (infml.) a husband, wife, or other sexual partner 丈夫；妻子；配偶；性伴侣",e.g. Many matchmaking sites compile lists of potential [[mates]] using basic information.；e.g. Some of my office [[mates]] are planning to throw a party for me.
mate,"2) [C] sb. you work with, do an activity with, or share sth. with 同事；同伴",e.g. Many matchmaking sites compile lists of potential [[mates]] using basic information.；e.g. Some of my office [[mates]] are planning to throw a party for me.
shapely,(esp. of a woman or part of her body) having an attractive or well-proportioned shape （尤指女子或其部分身体）好看的，匀称的,"e.g. She was about my age and had long, [[shapely]] legs and a beautiful smile."
sparkling,shining and flashing with light 闪亮的；闪光的,"e.g. This is a region of [[sparkling]] lakes, rushing streams, and dense forests."
attractive,very pleasing in appearance or sound 好看的；好听的；有吸引力的,e.g. I thought he was very [[attractive]] and obviously very intelligent.
evolutionary,relating to the way in which plants and animals develop and change gradually over a long period of time 进化的,e.g. Some scholars are keen to see [[evolutionary]] theory challenged in university lecture halls.
reproduce,"if an animal or plant reproduces, or reproduces itself, it produces young plants or animals 生殖；繁殖",e.g. Many single cell organisms [[reproduce]] by splitting in two.
parental,relating to being a parent and esp. to being responsible for a child's safety and development 父亲的；母亲的；父母的,e.g. [[Parental]] consent is required before the operation can take place.
offspring,[C] (pl. offspring) sb.'s child or children — often used humorously （某人的）子女，子孙，后代（常为幽默用法）,e.g. Tom's sister came over on Saturday with all her [[offspring]].
disinterest,[U] a lack of interest 无兴趣,e.g. The exception to Tom’s [[disinterest]] in social issues was education.
organ,[C] 器官,
disheartening,making you lose hope and determination 令人灰心的；令人气馁的,e.g. It is [[disheartening]] to see what little progress has been made.
destined,(not before noun) seeming certain to happen at some time in the future 注定的；必然的,"e.g. He feels that he is [[destined]] to become a musician, just like his father."
slave,1) (be a ~ of / to sth.) be so strongly influenced by sth. that you cannot make your own decisions — used to show disapproval 成为某事物的奴隶，完全受某事物控制（含贬义）,"e.g. How can she not see that she has become a [[slave]] of fashion?；e.g. By the time I was 10, I had become her [[slave]], doing all the housework."
slave,2) sb. who is owned by another person and works for them for no money 奴隶,"e.g. How can she not see that she has become a [[slave]] of fashion?；e.g. By the time I was 10, I had become her [[slave]], doing all the housework."
magnificent,extremely attractive and impressive; deserving praise 壮丽的；宏伟的；值得赞扬的,e.g. I think he deserves congratulations for a [[magnificent]] job well done.
remedy,deal with a problem or improve a bad situation 解决；补救；纠正；改善,"e.g. To [[remedy]] the situation, the water must be chemically treated.；e.g. There is no simple [[remedy]] for unemployment."
remedy,[C] a way of dealing with a problem or making a bad situation better （问题的）解决方式；（糟糕状况的）补救方法,"e.g. To [[remedy]] the situation, the water must be chemically treated.；e.g. There is no simple [[remedy]] for unemployment."
compassion,"[U] a strong feeling of sympathy for sb. who is suffering, and a desire to help them 怜悯；同情",e.g. He was filled with overwhelming love and [[compassion]] for his wife.
make sense,"if sth. makes sense, there seems to be a good reason or explanation for it 解释得通；有道理",e.g. Why did she do a thing like that? It doesn't seem to [[make sense]].
dig into,try to find out about sth. unknown or secret 探究；探寻,"e.g. When you [[dig into]] the data a bit though, things look gloomier."
hit upon / on,have an idea or discover sth. suddenly or unexpectedly 突然想出（主意）；无意中发现（某事）,"e.g. When we first [[hit upon]] the idea, everyone told us it would never work."
give / lose one's heart to,start to love sb. very much 爱上某人,e.g. The minute we met I knew this was the girl I wanted to give my heart to.
as to,concerning sb. / sth. 关于某事,e.g. Frank was very uncertain [[as to]] whether it was the right job for him.
green with envy,very unhappy because sb. has sth. that you want 十分忌妒的；眼红的,"e.g. Chad is heading off to Spain for the week, and I'm [[green with envy]]."
set out to do sth.,start doing sth. or making plans to do sth. in order to achieve a particular result （为达到某个结果而）开始做某事，着手进行,e.g. He has achieved what he [[set out to do]] three years ago.
be on the case,"(spoken) if sb. says they are on the case, they know about a problem and are going to try to solve it 负责处理某事；负责解决某事","e.g. ""We need to book a flight before it's too late."" ""Don't worry, I'm [[on the case]]."""
beyond one's control,used to say sth. is impossible for sb. to control 无法控制,e.g. There was nothing we could do about it — the situation was beyond our control.
lend (one's) support,support sb. / sth. 给予支持,e.g. The president is [[lending support]] to the governor's re-election campaign.
take sth. personally,"get upset by the things other people say or do, because you think that their remarks or behaviors are directed at you in particular 因认为某人的言行针对自己而不快",e.g. Don't [[take it personally]]; she is rude to everyone.
