english,chinese,examples
equate,consider that two things are similar or connected 使等同；同等看待,"e.g. Some people [[equate]] fame with success, but I don't think so."
dual,(only before noun) having two of sth. or two parts 双的；双重的；两部分的,e.g. The piece of furniture serves a [[dual]] purpose as a cupboard and as a table.
duality,[U] (fml.) the state of having two of sth. or two parts 双重性,"e.g. His poems reveal the [[duality]] of his nature, the joy and hope, the fear and despair."
utopian,"having a strong belief that everything can be perfect, often in a way that does not seem to be realistic or practical 乌托邦的；空想完美主义的",e.g. He was pursuing a [[utopian]] dream of world prosperity.
side hustle,"[C] (mainly AmE, infml.) a piece of work or a job that you get paid for doing in addition to doing your main job 副业","e.g. Even if you love your job and find your work fulfilling, you can still benefit from a [[side hustle]]."
regarding,(fml.) concerning sb. / sth.; about sb. / sth. 关于,"e.g. [[Regarding]] your recent inquiry, I have sent you a copy of our new brochure."
boundary,"1) the point at which one feeling, idea, quality, etc. stops and another starts （不同情感、思想、品质等之间的）分野，分界线",e.g. The [[boundaries]] between history and storytelling are always being blurred.；e.g. The Mississippi River forms a natural [[boundary]] between Iowa and Illinois.
boundary,"2) the real or imaginary line that marks the edge of a state, country, etc., or the edge of an area of land that belongs to sb. 分界线；边界",e.g. The [[boundaries]] between history and storytelling are always being blurred.；e.g. The Mississippi River forms a natural [[boundary]] between Iowa and Illinois.
meditative,"1) relating to the practice of emptying your mind of thoughts and feelings, in order to relax completely or for religious reasons 冥想的；默想的","e.g. She closed her eyes and went into a [[meditative]] state.；e.g. When he entered the room, she was in a [[meditative]] mood."
meditative,2) thinking deeply and seriously about sth.; involving deep thought 深思的；沉思的；思考的,"e.g. She closed her eyes and went into a [[meditative]] state.；e.g. When he entered the room, she was in a [[meditative]] mood."
paycheck,[C] (BrE paycheque) (esp. AmE) the amount of wages sb. earns 薪金；工资,e.g. The new bill could mean a larger [[paycheck]] for state employees.
ruin,spoil or destroy sth. completely 毁坏；毁掉；糟蹋,e.g. Huge modern hotels have [[ruined]] this once undisturbed coastline.
purity,[U] the quality or state of being pure 纯；纯洁；洁净；纯正；纯粹,e.g. The color white is the color of [[purity]] and that is why women typically wear white when they get married.
enhance,improve sth. 改善；改进,e.g. The measures taken should considerably [[enhance]] the residents' quality of life.
by nature,essentially or innately 生性,e.g. She was [[by nature]] a very sensitive person.
have a hard time doing sth.,be difficult for sb. to do sth. 做某事很难,e.g. I [[had a hard time]] persuading him to accept the offer.
lead sb. to do sth.,cause sb. to do sth. 导致某人做某事,e.g. What [[led]] him to reconsider his position?
look to,"depend on sb. to provide help, advice, etc. 指望；依靠",e.g. They're [[looking to]] the new manager to make the company profitable.
