english,chinese,examples
popularity,"[U] the state of being liked, enjoyed, or supported by a large number of people 流行；受欢迎","e.g. We are doing a weekly poll on the president, and clearly his [[popularity]] has declined."
unintended,not deliberate 无意的；无心的,e.g. Technological advances are sometimes accompanied by [[unintended]] consequences such as pollution and global warming.
scrap,1) (~s) [pl.] food left after a meal 残羹剩饭,"e.g. The rats run around, searching for [[scraps]] in the rubbish.；e.g. He wrote his address on a [[scrap]] of paper."
scrap,"2) [C] a small piece of paper, cloth, etc. 小片；小块；碎屑","e.g. The rats run around, searching for [[scraps]] in the rubbish.；e.g. He wrote his address on a [[scrap]] of paper."
conscience,"[C, U] the part of your mind that tells you whether what you are doing is morally right or wrong 良心；良知",e.g. I have battled with my [[conscience]] over whether I should actually send this letter.
environmentalism,[U] the study of the environment and the belief that it must be protected from damage by human activities 环境保护主义,e.g. The teacher asked the students to find more information on [[environmentalism]] on the Internet.
elite,"[C] a group of people who have a lot of power and influence because they have money, knowledge, or special skills （社会）精英；上层人士","e.g. In this country, only the [[elite]] can afford an education for their children."
chafing dish,"[C] a metal pan over a heater, used to cook or to keep things warm at the table （有加热装置的）火锅，暖锅",e.g. Last Friday I got back to town and had [[chafing dishes]] with my family members.
triangle,[C] 三角形；三角形物体,
toothpick,[C] 牙签,
combination,1) [U] the act of combining or state of being combined 联合；组合,"e.g. After running through the numbers in every possible [[combination]], we finally hit on a solution.；e.g. The best approach may well be to use a [[combination]] of both methods."
combination,2) [C] two or more things joined or mixed together to form a single unit 结合体；联合体；混合体,"e.g. After running through the numbers in every possible [[combination]], we finally hit on a solution.；e.g. The best approach may well be to use a [[combination]] of both methods."
elegance,[U] the quality of being attractive and showing a good sense of style 高雅,e.g. In the dining room the decoration creates an atmosphere of [[elegance]].
permanent,lasting or intended to last for a long time or forever 长久的；永久的,e.g. Heavy drinking can cause [[permanent]] damage to the brain.
cuisine,1) food cooked in a certain way 菜肴；饭菜,"e.g. The dining room has lakeside views and offers excellent [[cuisine]].；e.g. Chinese [[cuisine]] is an art, which grew out of a highly developed civilization."
cuisine,2) a particular style of cooking 烹饪（法）,"e.g. The dining room has lakeside views and offers excellent [[cuisine]].；e.g. Chinese [[cuisine]] is an art, which grew out of a highly developed civilization."
conservative,not liking changes or new ideas 保守的；守旧的,e.g. The young people are the most eager to learn and the least [[conservative]] in their thinking.
conservatism,[U] dislike of changes or new ideas 保守；守旧主义,e.g. Jones himself was a curious mixture of radicalism (激进主义) and [[conservatism]].
loyalty,"[U] the quality of remaining faithful to your friends, principles, country, etc. 忠诚；忠贞；忠实",e.g. I was deeply impressed by his [[loyalty]] to his brother.
dainty,"small, pretty, and delicate 小巧的；精致的",e.g. We visited her uncle's place and were given tea and some [[dainty]] little cakes.
chow mein,[U] 炒面,
doctorate,[C] a university degree of the highest level 博士学位,e.g. He received his [[doctorate]] in political science at Columbia University.
mystery,[C] sth. which cannot be explained or understood 神秘的事；不可思议的事,e.g. It's a [[mystery]] to me how she ever passed that exam.
specifically,for the stated kind and no other; particularly 专门地；特定地；具体地,e.g. I asked her to repeat [[specifically]] the words that Patti had used.
bun,1) (BrE also bap) 小圆面包,
bun,2) (BrE) 小圆糕点,
gravy,[U]（调味用的）肉汁,
classic,1) of a very typical and well-known kind 典型的,e.g. Too many job hunters make the [[classic]] mistake of thinking only about what's in it for them.；e.g. Huckleberry Finn is a [[classic]] children's movie.
classic,2) of the highest quality or class and esp. serving as a model 一流的；经典的,e.g. Too many job hunters make the [[classic]] mistake of thinking only about what's in it for them.；e.g. Huckleberry Finn is a [[classic]] children's movie.
filling,(of food) making one's stomach feel full （食物）耐饥的，果腹的,"e.g. Although it is tasty, crab is not very [[filling]]."
munch,"eat sth. steadily and often noisily, esp. sth. hard and / or dry 大声嚼，用力嚼（尤其硬或干的食物）",e.g. The horse was [[munching]] away at my hat.
canteen,[C] (esp. BrE) （工厂、学校等的）食堂，餐厅,
dime,[C] （美国和加拿大的）十分硬币,
expat,[C] (infml.) a person living in a foreign country 居住在国外的人；侨民,"e.g. I had the vague idea that I could now vote electronically, but in fact no [[expat]] can do so."
reach out to,ask sb. for help 请求···的帮助,e.g. She urged him to [[reach out to]] his family.
of one's choosing / choice,that you choose by yourself 自己选择（或选定）的,e.g. Meals on a tour like ours could be eaten in any restaurant of one's [[choosing]].
fill (sb.) up,(make you) eat enough food so that you no longer feel hungry 使吃饱,e.g. They [[filled]] me up with cakes and sandwiches.
from scratch,"if you start sth. from scratch, you begin it without using anything that existed or was prepared before 从头做起；从零开始","e.g. It's completely ruined, so we'll have to start from scratch."
come up with,"think of an idea, answer, etc. 想出，提出（主意、答案等）",e.g. The airline has [[come up with]] a novel solution to the problem of jet lag.
to go,(AmE) (of cooked food sold in a shop) be taken away and not eaten in the shop （食物）带出餐馆吃的，外卖的,"e.g. ""Two chicken dinners with corn [[to go]], please,"" he said in a hurry."
call for sth.,need sth. 需要,e.g. This kind of work [[calls for]] a lot of patience.
to this day,up to and including the present moment 至今,e.g. Even [[to this day]] we don't know what happened for sure.
thanks to,because of 由于；因为,"e.g. The company has had a successful year, thanks to the improvement in export sales."
Megan Elias,梅甘・伊莱亚斯（人名）,
Boston University,波士顿大学（美国大学，位于马萨诸塞州）,
Paul Freedman,保罗・弗里德曼（人名）,
Yale University,耶鲁大学（美国大学，位于康涅狄格州）,
Waldorf,沃尔多夫（人名）,
Fall River,福尔里弗（美国城市，位于马萨诸塞州）,
Massachusetts,马萨诸塞州（位于美国东北部）,
Imogene Lim,伊莫金・林（人名）,
Vancouver Island University,温哥华岛大学（加拿大大学，位于不列颠哥伦比亚省）,
Brown University,布朗大学（美国大学，位于罗得岛州）,
New England,新英格兰（美国东北部地区）,
