english,chinese,examples
shimmer,shine with a soft light that looks as if it shakes slightly 发微光；闪闪发亮,e.g. My thoughts [[shimmer]] with the shimmering leaves and my heart sings with the touch of this sunlight.
clutch,hold sth. tightly because one does not want to lose it 紧握；紧抓,"e.g. The young man stood in the doorway, his invitation [[clutched]] tightly in his hand."
mirage,"[C] an effect caused by hot air in deserts, at sea, or on roads, which makes you think that you can see objects when they are not actually there 幻景；海市蜃楼","e.g. She thought at first it must be the edge of an oasis, then realized it was a [[mirage]]."
diligence,(fml.) the attitude or behavior of sb. who works very hard and very carefully 勤奋；用功,e.g. We should cultivate the good habits of [[diligence]] and frugality (节俭).
herald,[C] a sign that sth. is soon going to happen 预兆,"e.g. If this first opera of the season is a [[herald]] of what is to come, we can expect great things."
inward,1) felt or experienced in your own mind but not expressed to other people 内心的；精神的,"e.g. She watched his expression, saw the relaxation of his features, and breathed an [[inward]] sigh of relief.；e.g. The car was not severely damaged — only the middle of the car door was bent [[inward]]."
inward,2) toward the inside or center of sth. 向内的；向中心的,"e.g. She watched his expression, saw the relaxation of his features, and breathed an [[inward]] sigh of relief.；e.g. The car was not severely damaged — only the middle of the car door was bent [[inward]]."
so long as,(also as long as) used before saying the conditions that will make sth. else happen or be true 只要,"e.g. So long as you try your best, it doesn't matter whether you win or not."
and the like,used for including other similar people or things in what you are saying 诸如此类；等等,"e.g. Many words are compounds, such as blackboard, inkpot, bookstore, and the like."
Assyria,亚述（古代东方奴隶制国家）,
Paphos,帕福斯（塞浦路斯西南部古城）,
Homer,荷马（古希腊诗人）,
