english,chinese,examples
predictive,(usu. before noun) (fml.) relating to the ability to show what is going to happen in the future 预测的； 预言的；前瞻的,e.g. Newton's physical theories are a good example of how a scientific theory may be [[predictive]] as well as explanatory.
midway,1) when half a period of time has passed （一段时间）在中间的；到一半（的）,e.g. She was interrupted by the chairperson when she was [[midway]] through her presentation.；e.g. We are coming close to the [[midway]] point between Los Angeles and San Francisco.
midway,"2) between two places, and the same distance from each of them 在中途（的）；在半路（的）；在中间（的）",e.g. She was interrupted by the chairperson when she was [[midway]] through her presentation.；e.g. We are coming close to the [[midway]] point between Los Angeles and San Francisco.
anticipation,[U] a feeling of excitement about sth. enjoyable that is going to happen in the near future 期望；盼望,e.g. There was a sense of [[anticipation]] in the audience as the curtain went up for the play.
gastrin,[U] 胃泌素；促胃液素,
trigger,"make sth. happen very quickly, esp. a series of events 引发，激发（尤指一系列事件）",e.g. There must be specific events which [[triggered]] the aggressive displays in your dog.
acid,"[C, U] 酸（一种化学物质）",
digestion,[U] the process of digesting food 消化（过程）,e.g. [[Digestion]] is the organic process by which food is converted into substances that can be absorbed into the body.
gland,[C] 腺,
tumour,[C] (AmE tumor) 肿瘤；肿块；瘤,
hyperthyroidism,[U] 甲状腺功能亢进,
stature,1) sb.'s height or size 身高；身材,"e.g. I was by no means short in [[stature]], but next to this man I felt like a dwarf (矮子).；e.g. At that time there were no other universities in England equal in [[stature]] to Oxford and Cambridge."
stature,2) the degree to which sb. is admired or regarded as important 名声；声望,"e.g. I was by no means short in [[stature]], but next to this man I felt like a dwarf (矮子).；e.g. At that time there were no other universities in England equal in [[stature]] to Oxford and Cambridge."
surge,"1) if a large amount of a liquid, electricity, chemical, etc. surges, it moves very quickly and suddenly （大量液体）汹涌；（电流）浪涌；（化学物等）突然涌动","e.g. Adrenaline [[surged]] through her veins.；e.g. After the doors of the theater opened, the crowd [[surged]] forward and police had to intervene."
surge,2) suddenly move very quickly in a particular direction 迅速涌动；蜂拥向前,"e.g. Adrenaline [[surged]] through her veins.；e.g. After the doors of the theater opened, the crowd [[surged]] forward and police had to intervene."
meanwhile,1) used for emphasizing the difference between two situations 而（用于强调两种情况之间的差异）,"e.g. Stress can be extremely damaging to your health. Exercise, [[meanwhile]], can reduce its effects.；e.g. The hurricane will reach the island this evening. [[Meanwhile]], residents are being evacuated (转移)."
meanwhile,2) while sth. else is happening 与此同时,"e.g. Stress can be extremely damaging to your health. Exercise, [[meanwhile]], can reduce its effects.；e.g. The hurricane will reach the island this evening. [[Meanwhile]], residents are being evacuated (转移)."
suppress,"1) prevent sth. from growing or developing, or from working effectively 抑制（生长、发展、起作用等）",e.g. It is probable that the medication will [[suppress]] the symptom without treating the condition.；e.g. Illegal cross-border transactions are very active in this area despite international attempts to [[suppress]] them.
suppress,2) stop opposition or protest using military force or strict laws （凭借武力或严格的法律）平定，制止，镇压,e.g. It is probable that the medication will [[suppress]] the symptom without treating the condition.；e.g. Illegal cross-border transactions are very active in this area despite international attempts to [[suppress]] them.
urine,[U] 尿,
pee,(infml.) pass liquid waste from your body 撒尿,e.g. I need to [[pee]] before I leave. It's going to be a long journey.
act on / upon,"do sth. because of another person's advice or order, or because you have received information or had an idea 根据···行事",e.g. A patient will usually listen to the doctor's advice and [[act]] on it.
top up,increase the level of sth. slightly so as to bring it back to the level you want 补足；将···增加到所需之量,e.g. He had to do extra jobs on the weekend to [[top]] up his income and support the family.
sign off,write your final message at the end of an informal letter （写非正式信件时）收笔,"e.g. It's getting late, so she wrote a few more lines and [[signed]] off with ""Yours, Janet."""
Ernest Starling,欧内斯特 • 斯塔林（英国生理学家）,
the Royal College of Physicians,（英国）皇家内科医师学会,
Vodafone,沃达丰（世界著名的跨国移动通讯网络公司）,
Frederic Martini,弗雷德里克 • 马丁尼（人名）,
Snapchat,一款“阅后即焚”的信息分享应用程序,
