english,chinese,examples
creep,"(crept, crept) move slowly and quietly 轻声地缓慢行进","e.g. When cats are preparing to pounce on (猛扑) the mouse, they [[creep]] over the ground very slowly."
scent,"[C] a particular smell, esp. a pleasant one 气味；（尤指）香味",e.g. Flowers are chosen by customers for their [[scent]] as well as their look.
bosom,"[C, usu. sing.] （女人的）胸部",
tumultuously,"in a way that involves a lot of noise, excitement, activity, or violence 骚乱地；骚动地；混乱地；激动地",e.g. They gathered [[tumultuously]] around him and demanded to know how he had accomplished it.
slender,tall or long and thin in an attractive way 苗条的；修长的；纤细的,e.g. The dress is for my daughter who's about my height but more [[slender]].
vacant,1) looking as if you do not understand or are not paying attention 茫然的；失神的,"e.g. The maid's [[vacant]] expression was replaced momentarily by one of greedy expectation, shortly followed by disappointment.；e.g. All three sets of houses are [[vacant]], and she's making no attempt to rent them out."
vacant,"2) (seat, room, etc.) empty and available for sb. to use （座位、房间）空的，未被占用的","e.g. The maid's [[vacant]] expression was replaced momentarily by one of greedy expectation, shortly followed by disappointment.；e.g. All three sets of houses are [[vacant]], and she's making no attempt to rent them out."
terror,[U] a feeling of extreme fear 恐惧；惊恐,e.g. She shook with [[terror]] whenever she was about to fly in a plane by herself.
pulse,"[C, usu. sing.] the regular movement of blood as the heart pumps it round the body 脉搏",e.g. The doctor said he was in danger — his breathing was shallow and his [[pulse]] was weak.
monstrous,"very wrong, immoral, or unfair 极端错误的；道德败坏的；极不公正的",e.g. I'd like to make a complaint — it's [[monstrous]] to charge that much for a hotel room.
exalted,1) extremely happy and proud 兴高采烈的；得意洋洋的,e.g. We were absolutely [[exalted]] when we learned of your daughter's career success.；e.g. Leith doubted that she would ever meet a man in such a highly [[exalted]] position.
exalted,2) having a very high rank; highly respected 显贵的；高贵的,e.g. We were absolutely [[exalted]] when we learned of your daughter's career success.；e.g. Leith doubted that she would ever meet a man in such a highly [[exalted]] position.
dismiss,"refuse to consider sb.'s idea, opinion, etc. because you think it is not serious, true or important 拒绝考虑；不理会",e.g. The government has [[dismissed]] criticism that the country's health policy is a mess.
procession,[C] a series of people or things 一连串的人（或物）,e.g. We've had an endless [[procession]] of new secretaries in the office since Amy left.
persistence,[U] determination to do sth. even though it is difficult or other people oppose it 坚持；执着；执意,"e.g. The teacher kept saying that skill comes only with practice, patience and [[persistence]]."
illumination,"1) [C, U] (fml.) a clear explanation or understanding of a particular subject （对某一主题的）阐明，理解","e.g. In that flash of [[illumination]], he realized where he had gone wrong in his decision-making.；e.g. The only [[illumination]] came from a small window high in the opposite wall."
illumination,"2) [U] lighting provided by a lamp, light, etc. 光亮；照明","e.g. In that flash of [[illumination]], he realized where he had gone wrong in his decision-making.；e.g. The only [[illumination]] came from a small window high in the opposite wall."
kneel,"(knelt, knelt; kneeled, kneeled) be in or move into a position where your body is resting on your knees 跪着；跪下",e.g. She [[knelt]] on the floor and put more wood on the fire so that the room would be warmer.
elixir,"[C] a magical liquid that is supposed to cure people of illness, make them younger, etc. 灵丹妙药；不老药","e.g. You fool, it's yet another health product claiming to be the [[elixir]] of youth."
riot,"[C, U] a violent protest by a crowd of people 暴乱；骚乱",e.g. The police were able to take preventive action and avoid a possible [[riot]].
shudder,[C] a quick uncontrolled shaking movement 战栗；颤抖,"e.g. As she turned away from the house into the lane, she gave a [[shudder]] of relief."
importunity,"[C, U] the act of asking sb. for sth. continuously in an annoying or unreasonable way 强求","e.g. Unable to withstand my [[importunity]], he would make out drafts for me to copy."
feverish,1) extremely excited 特别激动的；极度兴奋的,e.g. He will be attending next week's Grammy Awards in [[feverish]] anticipation.；e.g. You ought to be careful about this kind of [[feverish]] cold — it often kicks back.
feverish,2) suffering from a fever 发烧的；发热的,e.g. He will be attending next week's Grammy Awards in [[feverish]] anticipation.；e.g. You ought to be careful about this kind of [[feverish]] cold — it often kicks back.
triumph,1) [U] the proud or excited feeling you get when you have won sth. or been successful 成功的满足感；胜利的喜悦之情,"e.g. My father returned in [[triumph]] from the annual sales of the department store with a half-price TV.；e.g. If confirmed by longer and larger clinical trials, this will rightly be hailed as a scientific [[triumph]]."
triumph,2) [C] an important victory or success after a difficult struggle 胜利；成功；成就,"e.g. My father returned in [[triumph]] from the annual sales of the department store with a half-price TV.；e.g. If confirmed by longer and larger clinical trials, this will rightly be hailed as a scientific [[triumph]]."
unwittingly,in a way that is not conscious or deliberate 不知不觉地；非故意地,e.g. Many parents [[unwittingly]] place their children in danger by not making sure they wear seat belts.
clasp,hold sb. / sth. tightly with your hands 握紧；抱紧,e.g. She would often [[clasp]] her hands behind her head and muse when she could have a house of her own.
descend,(fml.) move from a higher level to a lower one 从···下来；下降,e.g. I heard his footsteps [[descending]] the stairs — he must have finished his work.
latchkey,[C] （房子或公寓大门的）碰锁钥匙,
composedly,in a way that seems calm and in control of your feelings 镇静地,e.g. It is difficult to think [[composedly]] when you are being attacked by mosquitoes.
pierce,"make a small hole in or through sth., using an object with a sharp point 刺入；刺穿；刺破",e.g. The chef taught him to steam the corn until it can easily be [[pierced]] with a fork.
piercing,"1) (sound) high, sharp and unpleasant 尖锐的；刺耳的","e.g. Maggie let out a [[piercing]] scream as she saw the truck speeding toward her.；e.g. Cloudy and unfocused for a moment, his eyes quickly regained their normal [[piercing]] clarity."
piercing,2) sb. with piercing eyes is looking at you and seems to know what you are thinking 敏锐的；有洞察力的,"e.g. Maggie let out a [[piercing]] scream as she saw the truck speeding toward her.；e.g. Cloudy and unfocused for a moment, his eyes quickly regained their normal [[piercing]] clarity."
take the time,make the effort to do sth. 花费力气（做某事）,"e.g. There is an old saying: ""Take the time to stop and smell the flowers."""
count for,be important or valuable 有价值；有重要性,"e.g. When I first came to college, I realized that brainpower didn't [[count]] for much."
for heaven's sake,(spoken) used when sb. is telling sb. else how important it is to do sth. or not to do sth. 天哪（表示某事很重要）,"e.g. For heaven's sake, don't be late. Otherwise, we won't be able to catch the plane."
drink in,"look at, listen to, feel, or smell sth. in order to enjoy it 享受地看（听，感觉，嗅）；品味；欣赏","e.g. She just sat there, [[drinking]] in the stunning view of the sunset."
run riot,"(imagination, emotions, thoughts, etc.) go out of control （想象力）自由驰骋；（情感、思绪等）不受约束",e.g. They have let their imagination [[run]] riot to create new computer games.
at length,after a long time 最后；终于,"e.g. At length she became uneasy, and woke up the boy and asked, ""Do you know where your dad is?"""
Mallard,马拉德（人名）,
Josephine,约瑟芬（人名）,
Richards,理查兹（人名）,
Brently Mallard,布伦特利 • 马拉德（人名）,
Louise,路易丝（人名）,
